product,vendor,category,price,ranking,skin_type
lador-la-pause-time-tox-ampoule,Lador,Serum,17.81,5.0,All skin types
s-o-s-green-soothing-jelly-mask,Ultru,Face Mask,1.95,5.0,All skin types
im-sorry-for-my-skin-green-mud-soothing-mask,Ultru,Face Mask,1.95,5.0,All skin types
anua-peach-77-niacin-conditioning-milk,Anua,Moisturisers,26.95,5.0,"Dry, sensitive skin, all skin types"
anua-birch-70-moisture-boosting-toner,Anua,Toner,21.95,5.0,"Dry skin, fungal acne safe, all skin types"
laneige-radian-c-cream,Laneige,Moisturisers,30.95,5.0,All skin types
isntree-chestnut-bha-0-9-clear-toner,Isntree,Toner,20.95,5.0,All skin types
isntree-onion-newpair-b5-ampoule,Isntree,Serum,21.95,5.0,"Fungal Acne Safe, Sensitive, Dry Skin, All Skin Types"
isntree-onion-newpair-clear-pad,Isntree,Toner Pads,24.95,5.0,"Hyperpigmentation, fungal acne safe, sensitive skin, all skin types"
isntree-yam-root-vegan-milk-toner,Isntree,Toner,17.58,5.0,"Dry, combination, and normal skin types"
isntree-mugwort-calming-powder-wash,Isntree,Cleanser,15.95,5.0,All skin types
isntree-green-tea-fresh-serum,Isntree,Serum,27.38,5.0,"Sensitive skin, all skin types"
isoi-acni-dr-1st-speedy-spot,iSOi,Moisturisers,17.31,5.0,All skin types
isoi-acni-dr-1st-control-tonic,iSOi,Toner,23.09,5.0,All skin types
isoi-blemish-care-up-cream,iSOi,Moisturisers,48.95,5.0,All skin types
isoi-acni-dr-1st-cleansing,iSOi,Cleanser,25.25,5.0,All skin types
hyaluronic-acid-low-ph-cleansing-foam,Isntree,Cleanser,17.58,5.0,All skin types
isntree-cica-relief-cream,Isntree,Moisturisers,25.95,5.0,All skin types
c-niacin-toning-cream,Isntree,Moisturisers,18.95,5.0,All skin types
isntree-yam-root-vegan-milk-cream,Isntree,Moisturisers,24.44,5.0,"Dry skin, all skin types"
isntree-hyaluronic-acid-water-mist,Isntree,Toner,18.56,5.0,All skin types
laneige-perfect-renew-3x-skin-refiner-1,Laneige,Toner,49.95,5.0,"﻿Anti-aging, dry skin type﻿"
laneige-water-bank-hydro-essence,Laneige,Essence,34.95,5.0,All skin types
make-p-rem-safe-me-relief-moisture-cream,Make P:rem,Moisturisers,29.95,5.0,All skin types
torriden-dive-in-low-molecular-hyaluronic-acid-cleansing-water-copy,Torriden,Cleanser,17.95,5.0,"Fungal acne safe, sensitive skin, all skin types"
torriden-balanceful-cica-toner-pad,Torriden,Toner Pads,23.95,5.0,"Sensitive skin, pore care, all skin types"
torriden-balanceful-cica-serum,Torriden,Serum,23.95,5.0,"Fungal acne safe, sensitive skin, all skin types"
touch-in-sol-no-poreblem-priming-water,Touch in Sol,Make-up,20.95,5.0,All skin types
make-p-rem-safe-me-relief-moisture-green-ampoule,Make P:rem,Serum,23.27,5.0,All skin types
innisfree-green-tea-hydrating-amino-acid-cleansing-oil,Innisfree,Cleanser,19.95,5.0,All skin types
innisfree-volcanic-pore-bha-cleansing-foam,Innisfree,Cleanser,14.95,5.0,All skin types
innisfree-olive-real-cleansing-tissue,Innisfree,Cleanser,12.95,5.0,"Dry, normal skin types"
mary-may-calendula-peptide-ageless-sleeping-mask,MARY & MAY,Face Mask,22.48,5.0,"Dry skin, all skin types"
mary-may-hyaluronic-panthenol-hydra-mask,MARY & MAY,Face Mask,23.64,5.0,All skin types
mary-may-premium-idebenone-blackberry-complex-essence-mask,MARY & MAY,Face Mask,24.39,5.0,"Dry skin, all skin types"
mary-may-vitamin-b-c-e-cleansing-balm,MARY & MAY,Cleanser,21.95,5.0,Normal to dry skin types
mary-may-vegan-primer-glow-sun-cream-spf50-pa,MARY & MAY,Sunscreen,12.68,5.0,"Sensitive skin, all skin types"
innisfree-squeeze-energy-mask,Innisfree,Face Mask,2.95,5.0,All skin types
innisfree-super-volcanic-pore-micellar-cleansing-foam-2x,Innisfree,Cleanser,14.95,5.0,All skin types
mediheal-w-h-p-white-hydrating-black-mask-ex,Mediheal,Face Mask,2.51,5.0,All skin types
melixir-vegan-clarifying-foam-cleanser,Melixir,Cleanser,21.95,5.0,"Dry skin, all skin types"
tirtir-mask-fit-red-mini-cushion,TirTir,Make-up,15.62,5.0,All skin types
aromatica-serene-body-lotion-lavender-marjoram,Aromatica,Body Care,28.95,5.0,All skin types
aromatica-serene-body-wash-lavender-marjoram,Aromatica,Body Care,30.95,5.0,All skin types
aromatica-quinoa-protein-treatment-mask,Aromatica,Hair Care,25.95,5.0,All skin types
aromatica-organic-rosehip-oil,Aromatica,Serum,24.95,5.0,"Sensitive skin, all skin types"
tirtir-collagen-core-glow-essence,TirTir,Essence,38.95,5.0,"Wrinkle care, dry skin, all skin types"
i-dew-care-silicon-mask-brush,I DEW CARE,Silicon Mask Brush,7.95,5.0,All skin types
miguhara-ultra-whitening-perfect-ample,MIGUHARA,Serum,29.95,5.0,All skin types
miguhara-anti-wrinkle-effect-ample-origin,MIGUHARA,Serum,28.36,5.0,All skin types
miguhara-daily-silk-effect-hair-serum,MIGUHARA,Hair Care,24.95,5.0,All hair types
hyggee-all-in-one-essence,HYGGEE,Essence,24.95,5.0,All skin types
the-skin-house-uv-protection-sunblock-spf50,The SKIN HOUSE,Sunscreen,24.95,5.0,All skin types
aromatica-ritual-hair-oil-jasmine-vetiver,Aromatica,Hair Care,22.95,5.0,"Dry, damaged hair"
aromatica-circulating-juniper-berry-ginger-body-oil,Aromatica,Body Care,23.95,5.0,All skin types
holika-holika-crystal-crush-lipstick-love-who-you-are,Holika Holika,Make-up,19.95,5.0,All skin types
house-of-hur-moist-ampoule-blusher,House of Hur,Blush,14.95,5.0,"Fungal acne safe, all skin types"
house-of-hur-weightless-sun-fluid,House of Hur,Sunscreen,19.54,5.0,"sensitive skin, all skin types"
thank-you-farmer-sun-project-shimmer-sun-essence-spf30-pa,Thank You Farmer,Sunscreen,19.11,5.0,All skin types
atrue-real-black-tea-true-active-essence,Atrue,Essence,39.95,5.0,All skin types
holika-holika-ombre-blush,Holika Holika,Make-up,19.95,5.0,All skin types
missha-ultra-powerproof-liquid-eyeliner,Missha,Make-up,17.95,5.0,All skin types
axis-y-vegan-collagen-eye-serum-1,AXIS-Y,Eye serum,17.95,5.0,"Sensitive skin, all skin types"
axis-y-biome-radiating-intensified-essence,AXIS-Y,Essence,27.35,5.0,All skin types
heimish-dailism-eye-palette-coral-essay,Heimish,Make-up,18.36,5.0,All skin types
mixsoon-galactomyces-ferment-essence,MIXSOON,Essence,31.95,5.0,"﻿Dry, sensitive skin, all skin types"
haruharu-bunny-bundle,Haruharu WONDER,Set,69.12,5.0,All skin types
haruharu-wonder-black-bamboo-daily-soothing-sun-shield-spf50-pa,Haruharu WONDER,Sunscreen,20.95,5.0,"Sensitive, dry skin, all skin types"
mixsoon-pore-tory-clay-pack,MIXSOON,Exfoliators,18.95,5.0,All skin types
mixsoon-bean-stick-balm,MIXSOON,Multi Balm,34.95,5.0,"Normal, combination, dry skin types"
mixsoon-reishi-mushroom-essence,MIXSOON,Essence,24.95,5.0,"Fungal acne safe, sensitive skin, all skin types"
banila-co-velvet-blurred-lip-tint,Banila co,Lip Care,18.95,5.0,All skin types
mixsoon-panax-ginseng-root-essence,MIXSOON,Essence,31.95,5.0,All skin types
mixsoon-hinoki-essence,MIXSOON,Essence,31.95,5.0,"Fungal acne safe, acne prone skin, all skin types"
banila-co-b-lip-balm,Banila co,Lip Care,8.95,5.0,All skin types
b_lab-matcha-hydrating-real-sun-screen,B_LAB,Sunscreen,13.95,5.0,All skin types
hamel-vegan-relief-water-essence-sun-cream,Hamel,Sunscreen,21.95,5.0,All skin types
nacific-sun-essence-spf50-pa,NACIFIC,Sunscreen,17.95,5.0,"Dry, sensitive skin, all skin types"
nard-body-wash-lavender-musk,NARD,Body Care,20.95,5.0,"Fungal acne safe, all skin types"
skin1004-madagascar-centella-quick-calming-pad,SKIN1004,Toner Pads,19.1,5.0,"Fungal acne safe, dry skin, all skin types"
needly-cicachid-chilling-pad,Needly,Toner Pads,23.95,5.0,"Acne prone skin, dry skin, all skin types"
needly-vita-c-glow-jelly-pad,Needly,Toner Pads,22.95,5.0,"Fungal acne safe, all skin types"
neogen-wine-lift-pha-gauze-peeling,NEOGEN,Exfoliators,23.95,5.0,All skin types
etude-house-my-beauty-tool-brush-140-powder,Etude House,Accessories,11.95,5.0,All skin types
farm-stay-collagen-water-full-moist-rolling-eye-serum,Farm Stay,Eye Care,9.95,5.0,All skin types
ohora-pro-easy-peel-remover,Ohora,K-Beauty,13.66,5.0,All skin types
ohora-n-lunar-eclipse,Ohora,Gel Nails,18.95,5.0,All skin types
ohora-n-addict,Ohora,Gel Nails,13.95,5.0,All skin types
ohora-n-chilly,Ohora,Gel Nails,13.95,5.0,All skin types
ohora-n-spring-garden,Ohora,Gel Nails,17.95,5.0,All skin types
ohora-n-juliet,Ohora,Gel Nails,14.95,5.0,All skin types
skin-lab-clean-easy-blemish-spot-patch,SKIN & LAB,Spot Patches,9.95,5.0,"Acne prone, sensitive skin, all skin types"
barrierderm-think-family-sunscreen,SKIN & LAB,Sunscreen,24.95,5.0,"All skin types, baby and children safe"
belif-uv-protector-tone-up-sunscreen,Belif,Sunscreen,31.95,5.0,"Dry skin, all skin types"
ohora-n-lazy-sunday,Ohora,Gel Nails,15.95,5.0,All skin types
ohora-n-newtro-no-1,Ohora,Gel Nails,15.95,5.0,All skin types
ohora-n-spring-001,Ohora,Gel Nails,13.95,5.0,All skin types
ohora-n-cream-sky,Ohora,Gel Nails,13.95,5.0,All skin types
ohora-n-pastel,Ohora,Gel Nails,15.95,5.0,All skin types
one-thing-unbleached-cotton-pad,ONE THING,K-Beauty,11.95,5.0,All skin types
ongredients-revitalizing-toner-pad,Ongredients,Toner Pads,21.95,5.0,"Sensitive, dry skin, all skin types"
dr-ceuracle-vegan-active-berry-firming-eye-cream,Dr.Ceuracle,Eye Care,26.13,5.0,"Normal, combination, and dry skin types"
dr-ceuracle-pure-vc-mellight-ampoule-set,Dr.Ceuracle,Ampoules,49.95,5.0,"Sensitive skin, fungal acne safe, all skin types"
serumkind-black-blossom-hand-serum-1,SERUMKIND,Hand Care,29.95,5.0,All skin types
petitfee-aura-quartz-hydrogel-eye-zone-mask-iridescent-lavender,Petitfee,Eye Care,5.95,5.0,All skin types
petifee-aura-quartz-hydrogel-eye-mask-pure-opal,Petitfee,Eye Care,23.95,5.0,"Dry skin, all skin types"
round-lab-1025-dokdo-mud-pack,ROUND LAB,Exfoliators,15.95,5.0,"Fungal acne safe, sensitive skin, all skin types"
black-rouge-chewy-lip-glaze,Black Rouge,Lip Care,13.95,5.0,All skin types
black-rouge-double-layer-over-velvet-gallery,Black Rouge,Lip Care,13.95,5.0,All skin types
round-lab-1025-dokdo-eye-cream,ROUND LAB,Eye Care,29.95,5.0,"Sensitive, dry skin, all skin types"
rnw-der-moist-hyal-treatment-emulsion,RNW,Emulsion,19.95,5.0,"Dry skin, all skin types"
caolion-peace-water-aqua-drop-gel-night-mask,CAOLION,Discontinued,21.95,5.0,All skin types
yadah-cactus-body-lotion,Yadah,Body Care,14.94,5.0,All skin types
yadah-red-energy-eye-cream,YADAH,Eye Care,27.95,5.0,All skin types
w-dressroom-dress-living-clear-perfume-10-sense-ii,W.DRESSROOM,K-Beauty,29.95,5.0,All skin types
neogen-dermalogy-bio-peel-gauze-green-tea,NEOGEN,Exfoliators,23.95,4.95,All skin types
copy-of-dermalogy-bio-peel-gauze-peeling-lemon,NEOGEN,Exfoliators,23.46,4.95,All skin types
g9-skin-grapefruit-vita-peeling-gel,G9SKIN,Exfoliators,15.95,4.92,All skin types
dr-ceuracle-vegan-kombucha-coffee-bean-body-scrub,Dr.Ceuracle,Body Care,23.85,4.91,All skin types
torriden-dive-in-low-molecular-hyaluronic-acid-multi-pad,Torriden,Exfoliators,22.95,4.9,"Sensitive skin, all skin types"
anua-heartleaf-soothing-trial-kit,Anua,Ampoules,24.44,4.89,"Sensitive skin, all skin types"
amuse-chou-velvet,AMUSE,Lip Care,19.95,4.89,All skin types
kaine-glow-melting-lip-balm,KAINE,Lip Care,13.95,4.88,All skin types
i-dew-care-white-cat-headband,I DEW CARE,Accessories,7.95,4.88,All skin types
dr-althea-to-be-eyeconic-eye-serum,Dr. Althea,Eye Care,15.95,4.88,All skin types
serene-body-oil-lavender-marjoram,Aromatica,Body Care,20.95,4.88,All skin types
iunik-black-snail-edition-skincare-set,IUNIK,Set,16.95,4.86,All skin types
ks-gift-card,Korean-Skincare,Gift Cards,10.0,4.85,All skin types
etude-house-lovely-ethi-hairband,Etude House,Accessories,4.45,4.85,All skin types
kundal-honey-macadamia-body-wash,KUNDAL,Body Care,13.65,4.83,All skin types
haruharu-wonder-black-rice-soft-peeling-gel,Haruharu WONDER,Exfoliators,19.54,4.83,All skin types
pyunkang-yul-black-tea-line-gift-set,Pyunkang Yul,Set,68.54,4.83,All skin types
unleashia-luv-hug-velvet-tint,Unleashia,Lip Care,10.96,4.82,All skin types
cosrx-advanced-snail-hydrogel-eye-patch,COSRX,Eye Care,22.11,4.81,All skin types
objet-by-kundal-perfumed-hair-mist,KUNDAL,Hair Mist,24.95,4.8,All skin types
mixsoon-centella-stick-balm,MIXSOON,Multi Balm,34.95,4.8,All skin types
mizon-hyaluronic-acid-sherbet-peeling-scrub,Mizon,Exfoliators,16.95,4.8,All skin types
amuse-vegan-green-lip-balm,AMUSE,Lip Care,14.64,4.8,All skin types
petitfee-artichoke-soothing-hydrogel-eye-mask,Petitfee,Eye Care,14.15,4.8,All skin types
missha-vivid-fix-brush-pen-liner,Missha,Make-up,14.95,4.8,All skin types
kundal-shampoo-brush,KUNDAL,Accessories,6.95,4.79,All hair types
some-by-mi-aha-bha-pha-30-days-miracle-truecica-clear-pad,Some By Mi,Toner Pads,21.95,4.79,All skin types
innisfree-beauty-tool-ribbon-hair-band,Innisfree,Accessories,4.76,4.78,All skin types
skin1004-madagascar-centella-travel-kit,SKIN1004,Set,28.41,4.78,All skin types
nature-republic-by-flower-blusher,Nature Republic,Make-up,5.95,4.77,All skin types
quick-moisturizing-professional-hand-cream,Pyunkang Yul,Hand Care,11.49,4.77,All skin types
anua-cotton-pad-for-toner,Anua,K-Beauty,3.95,4.77,All skin types
dress-living-clear-perfume-no-49-peach-blossom,W.DRESSROOM,K-Beauty,8.95,4.74,All skin types
pyunkang-yul-1-3-cotton-pad,Pyunkang Yul,K-Beauty,4.49,4.74,All skin types
pyunkang-yul-calming-line-gift-set,Pyunkang Yul,Set,34.24,4.74,All skin types
heimish-all-clean-mini-kit,Heimish,K-Beauty,15.45,4.73,All skin types
benton-hanji-body-wash-towel,Benton,Accessories,7.0,4.73,All skin types
tonymoly-peach-hand-cream,Tonymoly,Hand Care,7.95,4.72,All skin types
iunik-propolis-edition-skincare-set,IUNIK,Set,16.95,4.72,All skin types
haruharu-wonder-ultra-fit-facial-pads-cotton-pads,Haruharu WONDER,K-Beauty,2.75,4.7,All skin types
i-dew-care-black-cat-headband,I DEW CARE,Accessories,7.95,4.69,All skin types
benton-shea-butter-olive-hand-cream,Benton,Hand Care,11.95,4.69,All skin types
pyunkang-yul-best-skincare-set,Pyunkang Yul,Set,49.95,4.67,All skin types
iunik-propolis-vitamin-eye-cream-set,IUNIK,Set,14.95,4.67,All skin types
skin-barrier-professional-hand-cream,Pyunkang Yul,Hand Care,10.95,4.66,All skin types
moisture-skincare-set,Pyunkang Yul,Set,46.98,4.64,All skin types
some-by-mi-beta-panthenol-repair-starter-kit,Some By Mi,Starter Kit,17.95,4.62,"Dry skin, all skin types"
isntree-mugwort-calming-ampoule-1,Isntree,Ampoules,23.95,4.61,"Fungal acne safe, irritated skin, sensitive skin, all skin types"
kundal-shea-butter-macadamia-pure-hand-cream,KUNDAL,Hand Care,5.95,4.61,All skin types
i-dew-care-brown-bear-headband,I DEW CARE,Accessories,7.95,4.6,All skin types
mizon-snail-miniature-set,Mizon,Starter Kit,22.95,4.56,All skin types
unleashia-bye-bye-my-blemish-concealer,Unleashia,Concealer,12.95,4.56,All skin types
benton-shea-butter-coconut-hand-cream,Benton,Hand Care,11.95,4.54,All skin types
aha-bha-pha-30days-miracle-travel-kit,Some By Mi,Starter Kit,13.66,4.54,All skin types
etude-house-my-beauty-tool-air-puff,Etude House,Accessories,5.95,4.5,All skin types
ohora-pro-glossy-top-gel,Ohora,Top Coat,21.95,4.5,All skin types
jumiso-jumiso-best-facial-serums-trial-kit,Jumiso,Starter Kit,15.95,4.5,All skin types
some-by-mi-yuja-niacin-dark-spot-correcting-stick,Some By Mi,Stick,24.95,4.45,All skin types
etude-house-my-beauty-tool-brow-band,Etude House,Accessories,2.95,4.44,All skin types
ohora-gel-lamp,Ohora,Nail Lamp,14.95,4.4,All skin types
heimish-marine-care-retinol-eye-serum,Heimish,Eye serum,16.95,4.4,Dry skin type
needly-daily-toner-pad,Needly,Toner Pads,22.95,4.36,"Fungal acne safe, dry skin, all skin types"
kaine-kombu-barrier-ampoule,KAINE,Ampoules,21.95,4.33,"Sensitive skin, dry skin, all skin types"
belif-moisturizing-eye-bomb,Belif,Eye serum,37.95,4.33,"Dry skin, all skin types"
kahi-wrinkle-bounce-multi-balm,KAHI,Multi Balm,28.36,4.26,"Dry skin, all skin types"
some-by-mi-yuja-niacin-anti-blemish-starter-kit,Some By Mi,Starter Kit,19.95,4.25,How to use:
skin-lab-porebarrier-clear-pad,SKIN & LAB,Toner Pads,19.95,4.25,"Sensitive skin, all skin types"
rnw-energy-ampoule-kit,RNW,Ampoules,24.95,4.25,"Sensitive skin, all skin types"
skin-lab-bakuchiol-eye-serum,SKIN & LAB,Eye serum,29.49,4.17,"Wrinkle care, all skin types"
ohora-pro-nail-primer-plus,Ohora,Top Coat,15.95,4.0,All skin types
ohora-pro-nail-strengthener,Ohora,Top Coat,21.95,4.0,All skin types
w-dressroom-dress-living-clear-perfume-no-214-hazelnut-in-chocolate,W.DRESSROOM,Perfume,9.95,4.0,All skin types
skin-lab-porebarrier-tightening-ampoule,SKIN & LAB,Ampoules,20.95,4.0,"Pore care, dry skin, all skin types"
needly-sensory-hand-cream,Needly,Hand Care,11.95,4.0,All skin types
rnw-der-blanc-shining-emulsion,RNW,Emulsion,21.95,4.0,"dry skin, all skin types"
some-by-mi-retinol-intense-trial-kit,Some By Mi,Starter Kit,15.66,3.8,"Sensitive skin, all skin types"
sisua-by-unleashia-butter-waffle-dough-blusher,Unleashia,Blush,13.95,3.75,All skin types
abib-hand-creme-type-g-fragrant-tube,Abib,Hand Care,14.95,3.67,All skin types
im-from-beet-energy-ampoule,I'm From,Ampoules,19.95,3.6,"Sensitive, fungal acne safe skin, all skin types"
elizavecca-cer-100-collagen-coating-hair-a-muscle-fixer-spray,Elizavecca,Hair Spray,15.95,3.5,All hair type
kundal-protein-bonding-care-hair-mist,KUNDAL,Hair Mist,18.95,3.25,All skin types
tfit-cover-up-pro-concealer,TFIT,Concealer,14.95,3.0,All skin types
sisua-by-unleashia-butter-waffle-glow-stick,Unleashia,Blush,28.95,3.0,All skin types
jet-set-essentials-kit,SKIN & LAB,Gift,49.95,3.0,All skin types
w-dressroom-dress-living-clear-perfume-no-76-yeosu-limited-edition,W.DRESSROOM,Perfume,11.95,0.0,All skin types
belif-peat-miracle-revital-eye-cream,Belif,Eye serum,43.95,0.0,"Sensitive skin, all skin types"
rnw-der-limited-advent-calendar-2023,RNW,Gift Box,79.95,0.0,All skin types
axis-y-glow-your-own-way-set-limited-edition,AXIS-Y,Starter Kit,39.95,0.0,All skin types
b_lab-matcha-hydrating-clear-ampoule,B_LAB,Ampoules,16.95,0.0,"Sensitive skin, fungal acne safe, all skin types"
mary-may-silicone-brush,MARY & MAY,Silicon Mask Brush,4.75,0.0,All skin types
petitfee-centella-clearing-spot-patch,Petitfee,Spot Patches,5.95,0.0,"Acne prone, fungal acne safe, all skin types"
caolion-magic-black-powder-massage-peeling-gel,CAOLION,Discontinued,39.95,0.0,All skin types
caolion-peace-water-aqua-fresh-gel-day-cream,CAOLION,Discontinued,33.95,0.0,All skin types
